id,open_date,open_time,customer_name,email,status,closed_date,closed_time,employee_name,description
24,1/19/2016,10:19 PM,Philip Simpson,cnicholsm@ning.com,closed,,,Christopher Nichols,test-description
25,2/5/2016,7:34 AM,Frances Mills,ssmithn@aboutads.info,closed,,,Sarah Smith,test-description
26,7/4/2016,2:31 PM,Harry Oliver,cdaviso@com.com,closed,,,Christopher Davis,test-description
27,9/25/2015,9:18 PM,Kimberly Ruiz,schapmanp@list-manage.com,open,5/7/2016,4:10 PM,Stephen Chapman,test-description
28,5/17/2016,10:05 PM,Tina Daniels,kstanleyq@storify.com,open,2/16/2016,7:07 PM,Kevin Stanley,test-description
29,9/15/2015,11:40 AM,Marilyn Taylor,rshawr@google.ru,open,8/6/2016,8:46 AM,Roger Shaw,test-description
30,9/11/2015,11:26 AM,Anthony Watson,mcoxs@gnu.org,closed,,,Marilyn Cox,test-description
31,6/29/2016,9:21 PM,Jeffrey Jenkins,sbradleyt@soup.io,closed,,,Shawn Bradley,test-description
32,7/7/2016,11:45 AM,Tammy James,sdiazu@si.edu,closed,,,Sarah Diaz,test-description
33,6/25/2016,12:18 PM,Aaron Henderson,eblackv@kickstarter.com,open,8/11/2016,6:59 PM,Elizabeth Black,test-description
34,3/29/2016,7:09 AM,Diana Lane,dmarshallw@sbwire.com,closed,,,Donna Marshall,test-description
35,6/2/2016,4:30 PM,Kathleen Turner,trogersx@nhs.uk,closed,,,Theresa Rogers,test-description
36,7/24/2016,1:02 PM,George Little,aphillipsy@seesaa.net,closed,,,Ashley Phillips,test-description
37,12/7/2015,2:54 PM,Stephen Jacobs,jmurphyz@quantcast.com,open,8/29/2016,2:26 AM,Jonathan Murphy,test-description
38,12/4/2015,12:27 PM,Ernest Baker,smendoza10@google.cn,closed,,,Sara Mendoza,test-description
39,6/26/2016,2:06 PM,Douglas Gutierrez,rwatkins11@marketwatch.com,open,8/5/2016,7:51 PM,Raymond Watkins,test-description
40,9/17/2015,12:13 PM,Nancy Diaz,iwashington12@vistaprint.com,open,6/1/2016,5:46 PM,Irene Washington,test-description
41,6/10/2016,5:04 PM,Johnny Garza,cgonzalez13@state.gov,closed,,,Carolyn Gonzalez,test-description
42,7/11/2016,12:41 PM,Theresa Mcdonald,vchapman14@tinyurl.com,open,11/28/2015,9:32 PM,Victor Chapman,test-description
43,4/1/2016,11:06 PM,Dorothy Andrews,dtaylor15@usgs.gov,closed,,,Doris Taylor,test-description
44,8/28/2016,3:59 AM,Kathy Warren,amedina16@seattletimes.com,open,8/28/2016,8:34 AM,Arthur Medina,test-description
45,5/22/2016,12:17 AM,Susan Stanley,jgordon17@engadget.com,closed,,,Joe Gordon,test-description
46,5/4/2016,9:04 AM,Bruce Oliver,rholmes18@tripod.com,open,5/19/2016,10:06 AM,Randy Holmes,test-description
47,4/2/2016,9:17 AM,Jonathan Holmes,cmurray19@cnbc.com,open,5/21/2016,9:30 PM,Cheryl Murray,test-description
48,10/23/2015,2:10 AM,Jack Alvarez,rrogers1a@java.com,open,4/2/2016,8:29 PM,Ralph Rogers,test-description
49,10/4/2015,7:48 AM,Walter Harrison,gpalmer1b@behance.net,open,6/27/2016,2:21 AM,George Palmer,test-description
50,8/7/2016,11:01 PM,Lisa Martinez,cdunn1c@miibeian.gov.cn,closed,,,Chris Dunn,test-description
51,3/23/2016,7:03 PM,Diane Allen,lpeters1d@mediafire.com,closed,,,Lillian Peters,test-description
52,10/7/2015,1:37 PM,Helen Rose,aferguson1e@tuttocitta.it,open,11/13/2015,11:52 AM,Alan Ferguson,test-description
53,11/3/2015,9:30 AM,Willie Jenkins,kjacobs1f@cdc.gov,open,3/31/2016,6:27 AM,Kimberly Jacobs,test-description
54,9/20/2015,1:05 AM,Jeremy Webb,cbrooks1g@desdev.cn,closed,,,Carlos Brooks,test-description
55,12/18/2015,4:04 AM,Jesse Willis,jburns1h@addtoany.com,closed,,,Janet Burns,test-description
56,1/22/2016,8:42 PM,Judy Stone,psanchez1i@uol.com.br,closed,,,Phillip Sanchez,test-description
57,10/27/2015,12:03 AM,Frank Ramos,dharris1j@auda.org.au,closed,,,Donald Harris,test-description
58,4/28/2016,5:03 AM,Elizabeth Matthews,sfuller1k@shinystat.com,open,2/29/2016,5:07 AM,Stephen Fuller,test-description
59,2/27/2016,8:06 AM,Kevin Miller,aflores1l@ibm.com,open,12/15/2015,1:27 PM,Andrea Flores,test-description
60,11/2/2015,1:37 PM,Terry Robinson,lallen1m@digg.com,open,8/18/2016,1:42 PM,Linda Allen,test-description
61,7/23/2016,3:12 PM,Gerald Henry,rryan1n@studiopress.com,closed,,,Robin Ryan,test-description
62,3/18/2016,4:12 AM,Amanda Cook,hrice1o@usda.gov,closed,,,Harold Rice,test-description
63,12/18/2015,11:32 AM,Robin Williams,wchavez1p@fastcompany.com,open,7/17/2016,6:00 AM,Willie Chavez,test-description
64,3/20/2016,1:12 AM,Jean Jones,jwatkins1q@tripod.com,closed,,,Justin Watkins,test-description
65,6/17/2016,2:19 AM,Sean Reyes,cedwards1r@clickbank.net,closed,,,Christine Edwards,test-description
66,12/11/2015,1:25 AM,Adam Hall,lharrison1s@fotki.com,closed,,,Lois Harrison,test-description
67,11/12/2015,11:42 AM,Bruce Wells,phenderson1t@oaic.gov.au,closed,,,Philip Henderson,test-description
68,11/17/2015,7:23 PM,Denise James,dmorrison1u@reference.com,open,11/12/2015,4:24 PM,Donald Morrison,test-description
69,3/14/2016,6:14 PM,Marie Montgomery,pphillips1v@disqus.com,closed,,,Patrick Phillips,test-description
70,5/5/2016,1:08 PM,Judith Carpenter,sthompson1w@telegraph.co.uk,closed,,,Stephen Thompson,test-description
71,6/17/2016,9:17 PM,Sara Rose,lyoung1x@youtube.com,open,12/20/2015,8:01 PM,Lawrence Young,test-description
72,3/18/2016,2:55 AM,Carl Simpson,bbennett1y@scribd.com,open,2/1/2016,4:56 PM,Brian Bennett,test-description
73,1/26/2016,9:58 AM,Mary Bennett,jharrison1z@phpbb.com,closed,,,Judy Harrison,test-description
74,10/26/2015,10:34 AM,Annie Washington,vcook20@freewebs.com,open,6/26/2016,3:03 PM,Victor Cook,test-description
75,7/21/2016,8:29 AM,Jose Collins,aramos21@cmu.edu,open,3/30/2016,2:50 AM,Anne Ramos,test-description
76,6/26/2016,7:13 PM,Melissa Adams,agarcia22@whitehouse.gov,open,10/19/2015,9:26 AM,Amy Garcia,test-description
77,2/28/2016,9:56 PM,Kathryn Jones,arobinson23@huffingtonpost.com,closed,,,Alice Robinson,test-description
78,7/14/2016,3:21 AM,Louise Hanson,jmartinez24@youku.com,open,7/13/2016,7:00 PM,James Martinez,test-description
79,5/27/2016,6:24 AM,Jean Gardner,hromero25@newsvine.com,open,8/22/2016,6:17 AM,Howard Romero,test-description
80,8/6/2016,5:43 AM,Jennifer Martinez,bhunt26@naver.com,open,8/21/2016,1:45 PM,Brian Hunt,test-description
81,7/30/2016,3:44 AM,Sandra Hughes,kholmes27@huffingtonpost.com,closed,,,Kenneth Holmes,test-description
82,1/31/2016,9:43 AM,Nicholas Lee,showell28@furl.net,open,8/17/2016,3:07 AM,Stephanie Howell,test-description
83,12/4/2015,11:32 AM,Cynthia Stanley,ccarter29@sitemeter.com,closed,,,Christina Carter,test-description
84,11/3/2015,12:01 AM,Doris Turner,ebailey2a@hud.gov,open,8/18/2016,2:01 PM,Eric Bailey,test-description
85,1/10/2016,3:13 PM,Jane Carpenter,gstephens2b@mit.edu,closed,,,Gary Stephens,test-description
86,12/30/2015,5:33 PM,Richard Dunn,jmoreno2c@goo.gl,closed,,,Jack Moreno,test-description
87,10/31/2015,2:03 PM,Justin Nelson,tjordan2d@umich.edu,closed,,,Todd Jordan,test-description
88,3/11/2016,1:47 PM,Wayne Kim,ediaz2e@github.io,open,7/15/2016,8:45 AM,Ernest Diaz,test-description
89,9/24/2015,10:36 PM,Jacqueline Carter,bcollins2f@mozilla.org,closed,,,Billy Collins,test-description
90,9/24/2015,2:39 AM,David George,ralexander2g@jugem.jp,open,8/23/2016,4:15 PM,Rebecca Alexander,test-description
91,2/28/2016,8:12 AM,Richard Meyer,bsimpson2h@tiny.cc,open,2/28/2016,2:22 PM,Benjamin Simpson,test-description
92,5/24/2016,4:03 PM,Nicholas Boyd,awallace2i@yahoo.com,open,3/13/2016,6:29 AM,Adam Wallace,test-description
93,8/11/2016,3:17 AM,Jeremy Dean,kbrooks2j@fema.gov,closed,,,Keith Brooks,test-description
94,9/19/2015,12:31 PM,Nancy Tucker,arice2k@mlb.com,open,12/16/2015,9:42 PM,Andrea Rice,test-description
95,2/23/2016,5:49 AM,Michelle Cunningham,bdixon2l@deliciousdays.com,closed,,,Brenda Dixon,test-description
96,12/14/2015,11:46 PM,Lillian Lawson,wbennett2m@hostgator.com,closed,,,Wayne Bennett,test-description
97,1/18/2016,6:09 PM,Louis Tucker,jmorrison2n@com.com,open,3/16/2016,5:27 AM,Jane Morrison,test-description
98,3/9/2016,11:36 PM,Adam Oliver,thicks2o@cpanel.net,closed,,,Theresa Hicks,test-description
99,4/29/2016,7:29 AM,Eric Mason,iholmes2p@about.com,open,8/28/2016,12:58 PM,Irene Holmes,test-description
100,1/21/2016,7:10 PM,Dorothy Cook,fcarroll2q@cdbaby.com,open,1/28/2016,2:35 PM,Frank Carroll,test-description
101,1/20/2016,12:37 PM,Jesse Hayes,darmstrong2r@auda.org.au,closed,,,Dennis Armstrong,test-description
